,FULL.PART.NUMBER,Below.Status,Above.Comp,Website.Name,FULL.PART..NO.STRING,Part.Position,DIV,Division,Water.Filters,Revenue.Generated,X..of.Revenue,Parts.Sold,Purchase.Price..USD.,PartsDirect.Prc,Delta,Position,Website.Manufacturer.Name,Stock.Status,Shipping..USD.,Box.Type
1,022-363-WD15X10014,#N/A,#N/A,Partselect,022363WD15X10014,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,043.00 ",0.00%,175,$18.79 ,$18.55 ,-1.29%,At Competition,GE,STOCK,Zip Required,RETAIL
2,022-363-WD28X10049,#N/A,#N/A,Partselect,022363WD28X10049,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,343.80 ",0.00%,40,$90.96 ,$89.41 ,-1.73%,At Competition,GE,STOCK,Zip Required,RETAIL
3,022-363-WD28X10324,#N/A,#N/A,Dey Distributing,022363WD28X10324,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$4,859.09 ",0.00%,41,$109.20 ,$110.90 ,1.53%,At Competition,GE,STOCK,Zip Required,RETAIL
4,022-364-WB04T10001,#N/A,#N/A,Partselect,022364WB04T10001,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,767.97 ",0.00%,72,$56.18 ,$56.72 ,0.95%,At Competition,GE,STOCK,Zip Required,RETAIL
5,022-364-WB07X10525,#N/A,#N/A,Partstore,022364WB07X10525,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$4,914.06 ",0.00%,60,$85.13 ,$87.01 ,2.16%,At Competition,GE,STOCK,Zip Required,RETAIL
6,022-364-WB07X10968,#N/A,#N/A,AppliancePartsPros,022364WB07X10968,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,190.11 ",0.00%,61,$56.35 ,$57.61 ,2.19%,At Competition,GE,STOCK,Zip Required,RETAIL
7,022-364-WB13K10003,#N/A,#N/A,AppliancePartsPros,022364WB13K10003,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,326.59 ",0.00%,86,$44.72 ,$44.75 ,0.07%,At Competition,GE,STOCK,Zip Required,RETAIL
8,022-364-WB13K10003,#N/A,#N/A,Dey Distributing,022364WB13K10003,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,326.59 ",0.00%,86,$44.40 ,$44.75 ,0.78%,At Competition,GE,STOCK,Zip Required,RETAIL
9,022-364-WB13T10001,#N/A,#N/A,AppliancePartsPros,022364WB13T10001,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,913.29 ",0.00%,68,$63.22 ,$64.31 ,1.69%,At Competition,GE,STOCK,Zip Required,RETAIL
10,022-364-WB13T10001,#N/A,#N/A,Partselect,022364WB13T10001,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,913.29 ",0.00%,68,$64.93 ,$64.31 ,-0.96%,At Competition,GE,STOCK,Zip Required,RETAIL
11,022-364-WB15X322,#N/A,#N/A,Appliance Zone,022364WB15X322,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$6,027.90 ",0.00%,76,$88.66 ,$86.88 ,-2.05%,At Competition,GE,STOCK,6.95,RETAIL
12,022-364-WB15X322,#N/A,#N/A,Partstore,022364WB15X322,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$6,027.90 ",0.00%,76,$85.28 ,$86.88 ,1.84%,At Competition,GE,STOCK,Zip Required,RETAIL
13,022-364-WB19K10044,#N/A,#N/A,AppliancePartsPros,022364WB19K10044,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$5,843.18 ",0.00%,74,$84.48 ,$84.15 ,-0.39%,At Competition,GE,STOCK,Zip Required,RETAIL
14,022-364-WB19X265,#N/A,#N/A,Appliance Zone,022364WB19X265,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$3,785.15 ",0.00%,12,$405.50 ,$414.74 ,2.23%,At Competition,GE,STOCK,6.95,RETAIL
15,022-364-WB23M24,#N/A,#N/A,Appliance Zone,022364WB23M24,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$5,513.10 ",0.00%,86,$59.44 ,$60.74 ,2.14%,At Competition,GE,STOCK,6.95,RETAIL
16,022-364-WB23M24,#N/A,#N/A,Dey Distributing,022364WB23M24,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$5,513.10 ",0.00%,86,$62.25 ,$60.74 ,-2.49%,At Competition,GE,STOCK,Zip Required,RETAIL
17,022-364-WB23M24,#N/A,#N/A,Easyapplianceparts,022364WB23M24,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$5,513.10 ",0.00%,86,$59.85 ,$60.74 ,1.47%,At Competition,GE,STOCK,Zip Required,RETAIL
18,022-364-WB23X5340,#N/A,#N/A,eReplacement Parts,022364WB23X5340,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$4,048.01 ",0.00%,45,$100.59 ,$99.87 ,-0.72%,At Competition,GE,OOS,Zip Required,RETAIL
19,022-364-WB27T10298,#N/A,#N/A,Appliance Zone,022364WB27T10298,C. Top 5k - 10k,22,Large Kitchen Appliances,,"$4,725.06 ",0.00%,24,$202.01 ,$207.05 ,2.43%,At Competition,GE,STOCK,6.95,RETAIL
